GEOID,pop_pov,pov_rt
06001400100,2982,4.2
06001400200,1993,5.5
06001400300,5086,7.5
06001400400,3979,9.2
06001400500,3927,9.4
06001400600,1635,10.9
06001400700,4825,16
06001400800,3747,12.1
06001400900,2354,15.3
06001401000,6239,24.9
06001401100,4205,13
06001401200,2580,8.4
06001401300,3765,30.4
06001401400,3978,35
06001401500,2638,21.5
06001401600,2098,21.5
06001401700,2753,18.7
06001401800,1928,29.9
06001402200,2546,28
06001402400,2801,19.2
06001402500,1770,42.7
06001402600,1241,44.5
06001402700,1812,28.3
06001402800,4255,31.1
06001402900,1323,29.6
06001403000,3251,27.4
06001403100,1436,35.8
06001403300,4743,35.6
06001403400,4379,11.8
06001403501,4639,19.9
06001403502,2066,13.8
06001403600,4925,6.4
06001403701,2787,11.4
06001403702,1901,5.4
06001403800,3299,7.3
06001403900,3989,10.9
06001404000,3033,8.7
06001404101,3030,6.7
06001404102,2290,6.5
06001404200,3416,3
06001404300,3324,2.3
06001404400,5408,5.1
06001404501,1840,4.5
06001404502,5556,0.8
06001404600,4540,2.7
06001404700,2084,5.2
06001404800,2723,8.9
06001404900,3937,5.5
06001405000,3319,5.1
06001405100,4334,2
06001405200,5125,5.9
06001405301,3019,11.9
06001405302,2446,18.9
06001405401,3989,21
06001405402,3163,20.7
06001405500,4124,21.6
06001405600,3171,10.8
06001405700,3724,24.1
06001405800,4437,35
06001405901,4583,34.9
06001405902,3101,30
06001406000,3184,38.4
06001406100,4581,24.6
06001406201,4313,28.5
06001406202,4403,39.3
06001406300,4128,26
06001406400,2215,18.1
06001406500,6111,22.3
06001406601,5181,17.7
06001406602,2815,20.9
06001406700,4962,7.3
06001406800,3607,8.9
06001406900,3918,9.6
06001407000,5891,20.8
06001407101,3444,32.9
06001407102,4087,21
06001407200,7009,33
06001407300,2469,21.4
06001407400,4205,21.7
06001407500,4302,35.5
06001407600,6497,19.7
06001407700,4167,4.6
06001407800,1899,4.7
06001407900,2965,7
06001408000,2314,2.3
06001408100,6346,4.7
06001408200,4469,18.7
06001408300,5148,12.7
06001408400,3301,28.7
06001408500,5909,22.4
06001408600,6661,29.6
06001408700,7702,26.5
06001408800,6223,34.3
06001408900,3035,36.4
06001409000,3747,20.4
06001409100,2214,25
06001409200,3595,16.1
06001409300,5101,31.6
06001409400,5259,26.6
06001409500,4588,35.9
06001409600,4675,20.4
06001409700,5366,20.6
06001409800,3496,11.6
06001409900,3410,8.6
06001410000,3506,4.4
06001410100,2754,17.9
06001410200,3370,21.2
06001410300,3598,20.5
06001410400,4142,13.7
06001410500,2209,41.7
06001420100,2434,3.4
06001420200,3180,6.9
06001420300,4928,7.5
06001420400,3232,28.6
06001420500,2474,9.2
06001420600,3344,1.9
06001421100,2085,2.4
06001421200,3650,3.1
06001421300,3891,4.3
06001421400,1709,4
06001421500,3775,2.9
06001421600,3545,8.3
06001421700,3572,11.3
06001421800,2234,5.1
06001421900,3947,8.8
06001422000,1954,20.5
06001422100,2593,6.6
06001422200,3553,9.1
06001422300,3890,15.2
06001422400,4187,27
06001422500,3224,29.1
06001422600,96,0
06001422700,2849,50
06001422800,3315,62.4
06001422900,5047,49.1
06001423000,4679,16.5
06001423100,4278,16.3
06001423200,3046,20.1
06001423300,4060,13.6
06001423400,5307,19.2
06001423500,3163,18.8
06001423601,2803,15.1
06001423602,5141,55.8
06001423700,3320,31.6
06001423800,2910,4.2
06001423901,1986,13
06001423902,1514,9.5
06001424001,4300,17.3
06001424002,2503,14.9
06001425101,1738,13.7
06001425102,3494,13
06001425103,2871,7.2
06001425104,3411,13.2
06001426100,6315,5.9
06001426200,4957,3.6
06001427100,3640,4.3
06001427200,4076,15.7
06001427300,5169,10.7
06001427600,5661,26.9
06001427700,5057,7.5
06001427800,5241,5.7
06001427900,4942,3.7
06001428000,2751,17.7
06001428100,4866,6.3
06001428200,6491,5.2
06001428301,6998,3.1
06001428302,7422,1.9
06001428400,4216,13
06001428500,3077,10.4
06001428600,3295,7.6
06001428700,4071,18.5
06001430101,6884,2.1
06001430102,2427,2.4
06001430200,6576,0.8
06001430300,3705,2.7
06001430400,2150,2.1
06001430500,5634,9
06001430600,6559,5.9
06001430700,4099,4.5
06001430800,5408,10.7
06001430900,5058,19.4
06001431000,2924,10.6
06001431100,3575,12.7
06001431200,5716,13.8
06001432100,3792,4.9
06001432200,4463,9.9
06001432300,4715,9.4
06001432400,6328,18.6
06001432501,4737,10.9
06001432502,5097,6.1
